order,season,episode,character_killed,killer,method,method_cat,reason,location,allegiance,importance
21,1,5,Tribesman,Bronn,Knife,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,None,1
22,1,5,Stark soldier,Lannister soldier,Spear,Polearm,Jamie Lannister attacked because Catelyn Stark had taken Tyrion Lannister prisoner,King’s Landing,House Stark,1
23,1,5,Stark soldier,Lannister soldier,Spear,Polearm,Jamie Lannister attacked because Catelyn Stark had taken Tyrion Lannister prisoner,King’s Landing,House Stark,1
24,1,5,Lannister soldier,Jory Cassel,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,House Lannister,1
25,1,5,Lannister soldier,Ned Stark,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,House Lannister,1
26,1,5,Lannister soldier,Jory Cassel,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,House Lannister,1
27,1,5,Lannister soldier,Jory Cassel,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,House Lannister,1
28,1,5,Jory Cassel,Jaime Lannister,Knife,Blade,Attacked Jaime in defense of Ned Stark,King’s Landing,House Stark,3
29,1,6,Wallen,Robb Stark,Sword,Blade,Attacked Bran Stark,Winterfell,Free Folk,2
30,1,6,Wildling,Robb Stark,Sword,Blade,Attacked Bran Stark,Winterfell,Free Folk,1
31,1,6,Stiv,Theon Greyjoy,Arrow,Arrow,Attacked Bran Stark,Winterfell,Free Folk,2
32,1,6,Vardis Egen,Bronn,Sword,Blade,Defeated in a trial by combat to determine Tyrion Lannister’s fate,The Eyrie,"House Egen, House Arryn",2
33,1,6,Viserys Targaryen,Khal Drogo,Molten gold,Fire/Burning,"Threatened Daenerys Targaryen and her unborn child, drew his sword in the sacred city",Vaes Dothrak,House Targaryen,4
34,1,7,Robert Baratheon,Boar,Tusk,Animal,Hunted the boar while drunk,King’s Landing,House Baratheon of King’s Landing,4
35,1,7,Stark soldier,City watch guard,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1
36,1,7,Stark soldier,City watch guard,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1
37,1,7,Stark soldier,City watch guard,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1
38,1,7,Stark soldier,Sandor “the Hound” Clegane,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1
39,1,8,Stark soldier,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1
40,1,8,Stark soldier,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1
41,1,8,Vayon Poole,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,2
42,1,8,Stark staff member,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1
43,1,8,Stark staff member,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1
44,1,8,Septa Mordane,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,3
45,1,8,Syrio Forel,Meryn Trant,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,3
46,1,8,Stableboy,Arya Stark,Sword (Needle),Blade,Tried to grab Arya,King’s Landing,Smallfolk,1
47,1,8,Othor,Jon Snow,Fire,Fire/Burning,Attacked Jeor Mormont,Castle Black,None,1
48,1,8,Jafer Flowers,Night’s Watch brother,Fire,Fire/Burning,Attacked members of the Night’s Watch,Castle Black,None,1
49,1,8,Mago,Khal Drogo,Hands,Hands,Challenged Khal Drogo when Daenerys took his spoils of war,Lhazar,Dothraki,2
50,1,9,Raven,Theon Greyjoy,Arrow,Arrow,Killed to prevent a message from leaving The Twins,The Twins,None,1
51,1,9,Drogo’s horse,Mirri Maz Duur,Knife,Blade,Sacrificed for magic ceremony,Red Waste,Dothraki,1
52,1,9,Qotho,Jorah Mormont,Sword,Blade,Tried to stop Mirri Maz Duur’s magic ritual from being performed on Khal Drogo,Red Waste,Dothraki,2
53,1,9,Stark soldier,Hill tribesman,Hammer,Bludgeon,Battle between Lannister and Stark forces,Unknown,House Stark,1
54,1,9,Stark soldier,Hill tribesman,Sword,Blade,Battle between Lannister and Stark forces,Unknown,House Stark,1
55,1,9,Pigeon,Arya Stark,Hands,Hands,Killed for food,King’s Landing,None,1
56,1,9,Ned Stark,Ilyn Payne,Sword (Ice),Blade,Executed on Joffrey Baratheon’s orders after Ned claimed Joffrey wasn’t the true heir to the throne,King’s Landing,House Stark,4
57,1,10,Rhaego,Mirri Maz Duur,Magic,Magic,Killed in a blood magic ritual as revenge,Red Waste,Dothraki,2
58,1,10,Khal Drogo,Daenerys Targaryen,Pillow,Household item,Killed after being put into a vegetative state by Mirri Maz Duur,Red Waste,Dothraki,4
59,1,10,Mirri Maz Duur,Daenerys Targaryen,Fire,Fire/Burning,Revenge for her having killed Khal Drogo and Rhaego,Red Waste,None,3
60,2,1,Knight,Sandor “the Hound” Clegane,Mace,Mace,Defeated in nameday tournament for Joffrey Baratheon,King’s Landing,None,1
61,2,1,The Silver,None,Starvation,Other,No food or water in the Red Waste,Red Waste,"Dothraki, House Targaryen",2
62,2,1,Maester Cressen,Melisandre “the Red Woman” of Asshai,Poison (magic?),Poison,Tried to kill Melisandre,Dragonstone,House Baratheon of Dragonstone,2
63,2,1,Barra (Baratheon illegitimate daughter),Janos Slynt,Knife,Blade,Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed,King’s Landing,Smallfolk,2
64,2,1,Robert Baratheon’s illegitimate son,City watch guard,Knife,Blade,Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed,King’s Landing,Smallfolk,1
65,2,1,Robert Baratheon’s illegitimate son,City watch guard,Water (drowning),Other,Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed,King’s Landing,Smallfolk,1
66,2,1,Robert Baratheon’s illegitimate son,City watch guard,Unknown,Unknown,Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed,King’s Landing,Smallfolk,1
67,2,2,Rakharo,Unknown (possible rival Dothraki men),Unknown,Unknown,Unknown (possibly as a challenge to Daenerys Targaryen’s khalasar),Red Waste,"Dothraki, House Targaryen",3
68,2,3,Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,House Lannister,1
69,2,3,Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,House Lannister,1
70,2,3,Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,House Lannister,1
71,2,3,Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,House Lannister,1
72,2,3,Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,House Lannister,1
73,2,3,Yoren,Amory Lorch,Sword,Blade,Refused to hand over Gendry,Riverlands,Night’s Watch,3
74,2,3,Night’s Watch recruit,Lannister soldier,Spear,Polearm,Attacked after seeing Yoren killed,Riverlands,Night’s Watch,1
75,2,3,Lommy Greenhands,Polliver,Sword (Needle),Blade,Killed after asking to be carried,Riverlands,Smallfolk,2
76,2,4,Rennick,Grey Wind,Direwolf teeth,Animal,Battle between Lannister and Stark forces,Oxcross,House Lannister,2
77,2,4,Lannister soldier,Grey Wind,Direwolf teeth,Animal,Battle between Lannister and Stark forces,Oxcross,House Lannister,1
78,2,4,Prisoner,The Tickler,Rat,Animal,Tortured for information about the Brotherhood without Banners,Harrenhal,None,1
79,2,5,Renly Baratheon,Melisandre “the Red Woman” of Asshai,Shadow Demon,Magic,Killed so that Stannis Baratheon would have fewer enemies,Storm’s End,House Baratheon of Storm’s End,4
80,2,5,Baratheon of Storm’s End guard,Brienne of Tarth,Sword,Blade,Attacked Brienne after assuming she killed Renly Baratheon,Storm’s End,House Baratheon of Storm’s End,1
81,2,5,Baratheon of Storm’s End guard,Brienne of Tarth,Sword,Blade,Attacked Brienne after assuming she killed Renly Baratheon,Storm’s End,House Baratheon of Storm’s End,1
82,2,5,The Tickler,Jaqen H’ghar,Unknown,Unknown,Arya Stark orders his death as part of her three deaths from Jaqen,Harrenhal,House Clegane,2
83,2,6,Rodrik Cassel,Theon Greyjoy,Sword,Blade,Refused to stand down when Theon took over Winterfell,Winterfell,"House Cassel, House Stark",3
84,2,6,Wildling,Night’s Watch brother,Arrow,Arrow,Killed for being a wildling lookout,Beyond the Wall,Free Folk,1
85,2,6,Wildling,Qhorin Halfhand,Sword,Blade,Killed for being a wildling lookout,Beyond the Wall,Free Folk,1
86,2,6,High Septon,Peasants,Hands,Hands,Literally torn apart in a city riot,King’s Landing,Faith of the Seven,1
87,2,6,Peasant,Sandor “the Hound” Clegane,Sword,Blade,Killed in a city riot,King’s Landing,Smallfolk,1
88,2,6,Peasant,Sandor “the Hound” Clegane,Sword,Blade,Killed in a city riot,King’s Landing,Smallfolk,1
89,2,6,Peasant,Sandor “the Hound” Clegane,Knife,Blade,Tried to rape Sansa Stark during a city riot,King’s Landing,Smallfolk,1
90,2,6,Peasant,Sandor “the Hound” Clegane,Knife,Blade,Tried to rape Sansa Stark during a city riot,King’s Landing,Smallfolk,1
91,2,6,Peasant,Sandor “the Hound” Clegane,Knife,Blade,Tried to rape Sansa Stark during a city riot,King’s Landing,Smallfolk,1
92,2,6,Amory Lorch,Jaqen H’ghar,Poison dart,Poison,Named by Arya Stark after he finds her with one of Tywin’s letters,Harrenhal,House Lannister,2
93,2,6,Drennan,Osha,Knife,Blade,"Killed so that Osha could escape from Winterfell with Bran Stark, Rickon Stark and Hodor",Winterfell,House Greyjoy,2
94,2,6,Irri,Unknown,Unknown,Unknown,Killed in a plot by Xaro Xhoan Daxos and Pyat Pree to cover up stealing the dragon eggs,Qarth,"Dothraki, House Targaryen",3
95,2,7,Alton Lannister,Jaime Lannister,Hands,Hands,Killed in Jaime’s attempt to escape imprisonment,Robb Stark’s camp,House Lannister,2
96,2,7,Torrhen Karstark,Jaime Lannister,Hands,Hands,Killed in Jaime’s attempt to escape imprisonment,Robb Stark’s camp,"House Karstark, House Stark",2
97,2,7,The Spice King,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,3
98,2,7,The Silk King,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1
99,2,7,The Copper King,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1
100,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1
101,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1
102,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1
103,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1
104,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1
105,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1
106,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1
107,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1
108,2,7,Billy,Theon Greyjoy,Fire,Fire/Burning,Theon needed to fool everyone into thinking he had killed Bran and Rickon Stark,Winterfell,Smallfolk,2
109,2,7,Jack,Theon Greyjoy,Fire,Fire/Burning,Theon needed to fool everyone into thinking he had killed Bran and Rickon Stark,Winterfell,Smallfolk,2
110,2,9,Matthos Seaworth,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,"House Seaworth, House Baratheon of Dragonstone",3
111,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
112,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
113,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
114,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
115,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
116,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
117,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
118,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
119,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
120,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
121,2,9,Baratheon of Dragonstone soldier,Accident,Blunt object,Bludgeon,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
122,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
123,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
124,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
125,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
126,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
127,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
128,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
129,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
130,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
131,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
132,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
133,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
134,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
135,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
136,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
137,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
138,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
139,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
140,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
141,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
142,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
143,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
144,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Boulder,Crushing,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
145,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1
146,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1
147,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Axe,Axe,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1
148,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Axe,Axe,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1
149,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Axe,Axe,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1
150,2,9,Baratheon of Dragonstone soldier,Sandor “the Hound” Clegane,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
151,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
152,2,9,Baratheon of Dragonstone soldier,Sandor “the Hound” Clegane,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
153,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
154,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Axe,Axe,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1
155,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Hands,Hands,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1
156,2,9,Baratheon of Dragonstone soldier,Bronn,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
157,2,9,Baratheon of Dragonstone soldier,Bronn,Knife,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
158,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Fire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
159,2,9,Baratheon of King’s Landing soldier,Stannis Baratheon,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1
160,2,9,Baratheon of King’s Landing soldier,Stannis Baratheon,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1
161,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Boulder,Crushing,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
162,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Boulder,Crushing,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
163,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1
164,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1
165,2,9,Baratheon of Dragonstone soldier,Tyrion Lannister,Axe,Axe,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
166,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
167,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Unknown,Unknown,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
168,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
169,2,9,Baratheon of King’s Landing soldier,Stannis Baratheon,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1
170,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Bludgeon,Bludgeon,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1
171,2,9,Baratheon of King’s Landing soldier,Stannis Baratheon,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1
172,2,9,Mandon Moore,Podrick Payne,Spear,Polearm,Attempted to kill Tyrion Lannister during the Battle of Blackwater,King’s Landing,"House Moore, Kingsguard",2
173,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1
174,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Unknown,Unknown,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
175,2,9,Baratheon of Dragonstone soldier,Loras Tyrell,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
176,2,9,Baratheon of Dragonstone soldier,Loras Tyrell,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
177,2,9,Baratheon of Dragonstone soldier,Loras Tyrell,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
178,2,9,Baratheon of Dragonstone soldier,Lannister soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
179,2,9,Baratheon of Dragonstone soldier,Loras Tyrell,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
180,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
181,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1
